iter	Passed	Remaining
771	1890	558
772	1892	555
773	1894	553
774	1896	550
775	1898	547
776	1900	545
777	1901	542
778	1903	540
779	1905	537
780	1907	534
781	1909	532
782	1911	529
783	1913	527
784	1915	524
785	1917	521
786	1919	519
787	1921	516
788	1923	514
789	1925	511
790	1927	509
791	1930	507
792	1932	504
793	1935	502
794	1937	499
795	1939	497
796	1941	494
797	1943	492
798	1945	489
799	1949	487
800	1951	484
801	1954	482
802	1956	479
803	1958	477
804	1960	474
805	1962	472
806	1964	469
807	1966	467
808	1968	464
809	1970	462
810	1972	459
811	1975	457
812	1977	454
813	1979	452
814	1981	449
815	1984	447
816	1986	444
817	1987	442
818	1989	439
819	1991	437
820	1994	434
821	1995	432
822	1997	429
823	1999	427
824	2001	424
825	2003	422
826	2005	419
827	2007	417
828	2009	414
829	2011	412
830	2013	409
831	2015	407
832	2017	404
833	2019	401
834	2021	399
835	2023	396
836	2025	394
837	2028	392
838	2030	389
839	2032	387
840	2034	384
841	2036	382
842	2038	379
843	2040	377
844	2042	374
845	2044	372
846	2046	369
847	2047	367
848	2049	364
849	2051	362
850	2054	359
851	2056	357
852	2058	354
853	2060	352
854	2062	349
855	2063	347
856	2065	344
857	2068	342
858	2069	339
859	2071	337
860	2073	334
861	2075	332
862	2077	329
863	2079	327
864	2081	324
865	2083	322
866	2085	319
867	2086	317
868	2088	314
869	2090	312
870	2092	309
871	2094	307
872	2096	305
873	2098	302
874	2100	300
875	2102	297
876	2104	295
877	2106	292
878	2108	290
879	2110	287
880	2112	285
881	2114	282
882	2116	280
883	2118	277
884	2120	275
885	2122	273
886	2124	270
887	2126	268
888	2128	265
889	2130	263
890	2132	260
891	2134	258
892	2136	255
893	2138	253
894	2140	251
895	2142	248
896	2144	246
897	2146	243
898	2147	241
899	2149	238
900	2151	236
901	2153	234
902	2155	231
903	2157	229
904	2159	226
905	2161	224
906	2163	221
907	2165	219
908	2167	216
909	2169	214
910	2171	212
911	2173	209
912	2175	207
913	2177	204
914	2179	202
915	2181	200
916	2183	197
917	2185	195
918	2187	192
919	2188	190
920	2190	187
921	2192	185
922	2194	183
923	2196	180
924	2198	178
925	2200	175
926	2202	173
927	2204	171
928	2206	168
929	2208	166
930	2210	163
931	2212	161
932	2214	159
933	2216	156
934	2217	154
935	2220	151
936	2221	149
937	2223	146
938	2225	144
939	2227	142
940	2229	139
941	2231	137
942	2233	135
943	2235	132
944	2237	130
945	2239	127
946	2241	125
947	2243	123
948	2244	120
949	2246	118
950	2248	115
951	2250	113
952	2252	111
953	2254	108
954	2256	106
955	2258	103
956	2260	101
957	2262	99
958	2264	96
959	2266	94
960	2268	92
961	2270	89
962	2272	87
963	2274	84
964	2275	82
965	2277	80
966	2279	77
967	2282	75
968	2284	73
969	2287	70
970	2289	68
971	2291	66
972	2293	63
973	2295	61
974	2296	58
975	2298	56
976	2300	54
977	2302	51
978	2304	49
979	2306	47
980	2308	44
981	2310	42
982	2312	39
983	2314	37
984	2316	35
985	2318	32
986	2320	30
987	2323	28
988	2325	25
989	2327	23
990	2329	21
991	2331	18
992	2333	16
993	2335	14
994	2337	11
995	2339	9
996	2341	7
997	2343	4
998	2345	2
999	2347	0
